BNet_UI,Status,ProbeKit,DNA_Yield,DateExtracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,Sequence Successful,ExtractedBy,Contributor,ProjectCode,Type ,DNA_Fragmentation,Notes
BN003075,sequenced,13,good,11/20/2017,KA-17-0109-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,cameruna,,Legs,0.0482,9.64,Euptera cameruna,,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003076,sequenced,13,good,11/20/2017,KA-17-0110-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,grepi,,Legs,0.0497,9.94,Euptera grepi,Euptera grepi,3/5/2018,,K. Dexter,ABRI,Adol,,,1 gene
BN003077,sequenced,13,good,11/20/2017,KA-17-0115-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,choveti,,Legs,0.0231,4.62,Euptera choveti,Euptera choveti,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003078,sequenced,13,good,11/20/2017,KA-17-0116-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,ginettae,,Legs,0.064,12.8,Euptera ginettae,Euptera ginettae,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003079,unsequenceable,unassigned,bad,11/20/2017,KA-17-0117-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,falsathyma,,Legs,<0.010,,Euptera falsathyma,Euptera falsathyma,--,--,K. Dexter,ABRI,--,,,
BN003080,sequenced,13,good,11/20/2017,KA-17-0118-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,mocquerysi,,Legs,0.0759,15.2,Euptera mocquerysi,Euptera mocquerysi,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003081,sequenced,13,good,11/20/2017,KA-17-0120-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,ducarmei,,Legs,0.0438,8.76,Euptera ducarmei,Euptera ducarmei,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003082,sequenced,13,good,11/20/2017,KA-17-0122-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,ituriensis,,Legs,0.0625,12.5,Euptera ituriensis,Euptera ituriensis,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003083,sequenced,13,good,11/20/2017,KA-17-0128-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,zowa,,Legs,0.025,5,Euptera zowa,Euptera zowa,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003084,sequenced,13,good,11/20/2017,KA-17-0131-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,pluto,primitiva,Legs,0.0275,5.5,Euptera pluto,Euptera pluto,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003085,sequenced,13,good,11/20/2017,KA-17-0134-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,aurantiaca,,Legs,0.0312,6.24,Euptera aurantiaca,Euptera aurantiaca,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003086,sequenced,13,good,11/20/2017,KA-17-0136-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,centralis,,Legs,0.0259,5.18,Euptera centralis,,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003087,sequenced,13,good,11/20/2017,KA-17-0141-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,kinugnana,,Legs,0.0367,7.34,Euptera kinugnana,Euptera kinugnana,3/5/2018,,K. Dexter,ABRI,Adol,,,4 genes
BN003088,sequenced,13,good,11/20/2017,KA-17-0148-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euptera,dorothea,warrengashi,Legs,0.0485,9.7,Euptera dorothea,Euptera dorothea,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003089,sequenced,13,good,11/20/2017,KA-17-0153-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euphaedra,species8,,Legs,0.177,35.4,Euphaedra species8,Euphaedra sp,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003090,sequenced,13,good,11/20/2017,KA-17-0156-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euphaedra,thalie,,Legs,0.0949,19,Euphaedra thalie,Euphaedra thalie,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003091,sequenced,13,low,11/20/2017,KA-17-0164-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Pseudacraea,imitator,,Legs,0.0144,2.88,Pseudacraea imitator,,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003092,duplicate,NA,good,11/29/2017,LEP 58834,Lycaenidae,THeclinae,Eumaeini,,Eumaeus,atala,,Thorax,1.24,248,Eumaeus atala,Eumaeus atala,--,--,K. Dexter,Jared Daniels,--,,,"For Low Coverage Genome Sequencing, Eluted in DIW"
BN003093,sequenced,13,good,11/29/2017,KA-17-0166-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,acholica,,Legs,0.115,23,Pseudacraea acholica,Pseudacraea acholica,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003094,sequenced,13,good,11/29/2017,KA-17-0167-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,annakae,,Legs,0.0623,12.5,Pseudacraea annakae,Pseudacraea annakae,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003095,sequenced,13,good,11/29/2017,KA-17-0170-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,ruwenzorica,,Legs,0.115,23,Pseudacraea ruwenzorica,Pseudacraea eurytus,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003096,unsequenceable,unassigned,bad,11/29/2017,KA-17-0462-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euryphura,porphyrion,fontainei,Abdomen,0.431,86.2,Euryphura porphyrion,Euryphura porphyrion,--,--,K. Dexter,ABRI,--,,,"Possibly mislabeled by CCNY, 2 0462 samples in shipment"
BN003097,duplicate,unassigned,good,11/29/2017,KA-17-0178-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,rubrobasalis,,Legs,0.0627,12.5,Pseudacraea rubrobasalis,Pseudacraea rubrobasalis,--,--,K. Dexter,ABRI,--,,,
BN003098,sequenced,13,good,11/29/2017,KA-17-0184-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,kuenowi,,Legs,0.0499,9.98,Pseudacraea kuenowi,Pseudacraea kuenowii,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003099,sequenced,13,good,11/29/2017,KA-17-0187-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,striata,,Legs,0.0562,11.2,Pseudacraea striata,Pseudacraea eurytus,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003100,OnGenbank,NA,low,11/29/2017,KA-17-0193-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,imerina,,Legs,0.01,2,Pseudacraea imerina,Pseudacraea imerina,,,K. Dexter,ABRI,Adol,,,7 genes
BN003101,sequenced,13,good,11/29/2017,KA-17-0199-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,deludens,,Legs,0.0442,8.84,Pseudacraea deludens,Pseudacraea deludens,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003102,sequenced,13,good,11/29/2017,KA-17-0230-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,occidentalis,occidentalis,Legs,0.04,8,Neptis occidentalis,Neptis occidentalis,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003103,sequenced,13,good,11/29/2017,KA-17-0232-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,ochracea,mildbraedi,Legs,0.0509,10.2,Neptis ochracea,Neptis ochracea,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003104,sequenced,13,good,11/29/2017,KA-17-0237-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,occidentalis,batesii,Legs,0.0352,7.04,Neptis occidentalis,Neptis occidentalis,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003105,sequenced,13,good,11/29/2017,KA-17-0239-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,caragouchi,,Legs,0.062,12.4,Neptis caragouchi,,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003106,sequenced,13,good,11/29/2017,KA-17-0247-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,liberti,,Legs,0.129,25.8,Neptis liberti,Neptis liberti,3/12/2018,,K. Dexter,ABRI,Nept,,,1 gene
BN003107,sequenced,13,good,11/29/2017,KA-17-0249-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,exaleuca,,Legs,0.095,19,Neptis exaleuca,Neptis exaleuca,3/12/2018,,K. Dexter,ABRI,Nept,,,3 genes
BN003108,sequenced,13,good,11/29/2017,KA-17-0252-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,jamesoni,,Legs,0.171,34.2,Neptis jamesoni,Neptis jamesoni,3/12/2018,,K. Dexter,ABRI,Nept,,,
BN003109,sequenced,13,good,11/29/2017,KA-17-0253-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,vindo,,Legs,0.05,10,Neptis vindo,Neptis vindo,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003110,sequenced,13,good,11/29/2017,KA-17-0254-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,comorarum,,Legs,0.208,41.6,Neptis comorarum,Neptis comorarum,3/12/2018,,K. Dexter,ABRI,Nept,,,
BN003111,sequenced,13,good,11/29/2017,KA-17-0257-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,dumetorum,,Legs,0.0669,13.4,Neptis dumetorum,Neptis dumetorum,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003112,sequenced,13,good,11/29/2017,KA-17-0258-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,frobenia,,Legs,0.0528,10.6,Neptis frobenia,Neptis frobenia,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003113,duplicate,NA,good,11/29/2017,KA-17-0260-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,paula,,Legs,0.104,20.8,Neptis paula,Neptis paula,,,K. Dexter,ABRI,Nept,,,
BN003114,sequenced,13,good,11/29/2017,KA-17-0263-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,mixophyes,,Legs,0.0327,6.54,Neptis mixophyes,Neptis mixophyes,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003115,sequenced,13,good,11/29/2017,KA-17-0267-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,quintilla,,Legs,0.0364,7.28,Neptis quintilla,Neptis quintilla,3/5/2018,,K. Dexter,ABRI,Nept,,,1 gene
BN003116,sequenced,13,low,11/29/2017,KA-17-0269-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,rogersi,,Legs,0.0184,3.68,Neptis rogersi,Neptis rogersi,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003117,sequenced,13,good,11/29/2017,KA-17-0270-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,species52D,,Legs,0.0371,7.42,Neptis species52D,Neptis sp,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003118,sequenced,13,good,11/29/2017,KA-17-0272-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,species59,,Legs,0.0244,4.88,Neptis species59,Neptis sp,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003119,sequenced,13,good,11/29/2017,KA-17-0274-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,species61,,Legs,0.0904,18.1,Neptis species61,Neptis sp,3/12/2018,,K. Dexter,ABRI,Nept,,,
BN003120,sequenced,13,good,11/29/2017,KA-17-0276-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,lugubris,,Legs,0.101,20.2,Neptis lugubris,Neptis lugubris,3/12/2018,,K. Dexter,ABRI,Nept,,,
BN003121,sequenced,13,good,11/29/2017,KA-17-0277-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,agouale79,,Legs,0.0262,5.24,Neptis agouale79,Neptis sp,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003122,unsequenceable,unassigned,bad,11/29/2017,KA-17-0280-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,agouale81,,Legs,<0.010,,Neptis agouale81,Neptis sp,--,--,K. Dexter,ABRI,--,,,
BN003123,sequenced,13,good,11/29/2017,KA-17-0282-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,kikideli,,Legs,0.0772,15.4,Neptis kikideli,Neptis kikideli,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003124,sequenced,13,good,11/29/2017,KA-17-0283-ABRI,Nymphalidae,Danainae,Danaini,,Amauris,hyalites,,Legs,0.0767,15.3,Amauris hyalites,Amauris hyalites,3/5/2018,,K. Dexter,ABRI,Dana,,,
BN003125,sequenced,13,good,11/29/2017,KA-17-0286-ABRI,Nymphalidae,Danainae,Danaini,,Amauris,crawshayi,camerunica,Legs,0.0941,18.8,Amauris crawshayi,Amauris crawshayi,3/12/2018,,K. Dexter,ABRI,Dana,,,
BN003126,sequenced,13,good,11/29/2017,KA-17-0293-ABRI,Nymphalidae,Danainae,Danaini,,Amauris,phoedon,,Legs,0.208,41.6,Amauris phoedon,Amauris phoedon,3/12/2018,,K. Dexter,ABRI,Dana,,,
BN003127,sequenced,13,good,11/29/2017,KA-17-0294-ABRI,Nymphalidae,Danainae,Danaini,,Amauris,comorana,,Legs,0.0966,19.3,Amauris comorana,Amauris comorana,3/12/2018,,K. Dexter,ABRI,Dana,,,
BN003128,sequenced,13,good,11/29/2017,KA-17-0298-ABRI,Nymphalidae,Danainae,Danaini,,Amauris,inferna,grogani,Legs,0.194,38.8,Amauris inferna,Amauris inferna,3/12/2018,,K. Dexter,ABRI,Dana,,,
BN003129,unsequenceable,unassigned,bad,11/29/2017,KA-17-0301-ABRI,Nymphalidae,Danainae,Danaini,,Euploea,euphon,,Legs,<0.010,,Euploea euphon,Euploea euphon,--,--,K. Dexter,ABRI,--,,,
BN003130,sequenced,13,good,11/29/2017,KA-17-0304-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,larseni,,Abdomen,0.367,73.4,Neptis larseni,Neptis larseni,3/12/2018,,K. Dexter,ABRI,Nept,,,
BN003131,sequenced,13,good,11/29/2017,KA-17-0305-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,katama,,"Abdomen, Legs",0.392,78.4,Neptis katama,Neptis katama,3/12/2018,,K. Dexter,ABRI,Nept,,,
BN003132,sequenced,13,low,11/29/2017,KA-17-0307-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,eltringhami,,Abdomen,0.0107,2.14,Neptis eltringhami,Neptis eltringhami,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003133,sequenced,13,good,11/29/2017,KA-17-0308-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,kikuyuensis,,Legs,0.474,94.8,Neptis kikuyuensis,Neptis kikuyuensis,3/12/2018,,K. Dexter,ABRI,Nept,,,
BN003134,sequenced,13,good,11/29/2017,KA-17-0311-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,saclava,marpessa,Legs,0.0236,4.72,Neptis saclava,Neptis saclava,3/5/2018,,K. Dexter,ABRI,Nept,,,4 genes
BN003135,sequenced,13,good,11/29/2017,KA-17-0313-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,carpenteri,,Abdomen,0.0818,16.4,Neptis carpenteri,Neptis carpenteri,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003136,sequenced,13,good,11/29/2017,KA-17-0314-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,nina,,Legs,0.571,11.4,Neptis nina,Neptis nina,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003137,sequenced,13,good,11/29/2017,KA-17-0315-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,continuata,species37,Legs,0.0564,11.3,Neptis continuata,Neptis continuata,3/5/2018,,K. Dexter,ABRI,Nept,,,1 gene
BN003138,sequenced,13,good,11/29/2017,KA-17-0317-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,cormilloti,,"Abdomen, Legs",0.316,63.2,Neptis cormilloti,Neptis cormilloti,3/12/2018,,K. Dexter,ABRI,Nept,,,
BN003139,sequenced,13,good,11/29/2017,KA-17-0318-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,najo,,Abdomen,0.399,79.8,Neptis najo,Neptis najo,3/12/2018,,K. Dexter,ABRI,Nept,,,
BN003140,sequenced,13,low,11/29/2017,KA-17-0320-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,claude,,"Abdomen, Legs",0.012,2.4,Neptis claude,Neptis claude,3/5/2018,,K. Dexter,ABRI,Nept,,,
BN003141,sequenced,13,good,11/29/2017,KA-17-0321-ABRI,Nymphalidae,Limenitidinae,Neptini,,Neptis,trigonophora,melicertula,Legs,0.142,28.4,Neptis trigonophora,Neptis trigonophora,3/12/2018,,K. Dexter,ABRI,Nept,,,
BN003142,unsequenceable,unassigned,bad,11/29/2017,KA-17-0325-ABRI,Nymphalidae,Satyrinae,Ypthimini,,Strabena,albiviltuloides,,Legs,<0.010,,Strabena albiviltuloides,Strabena cachani,--,--,K. Dexter,ABRI,--,,,
BN003143,unsequenceable,unassigned,bad,11/29/2017,KA-17-0327-ABRI,Nymphalidae,Satyrinae,Ypthimini,,Strabena,isoalensis,,Legs,<0.010,,Strabena isoalensis,Strabena isoalensis,--,--,K. Dexter,ABRI,--,,,
BN003144,sequenced,13,good,11/29/2017,KA-17-0344-ABRI,Nymphalidae,Satyrinae,Ypthimini,,Strabena,andriana,,"Abdomen, Legs",0.0692,13.8,Strabena andriana,Strabena andriana,3/5/2018,,K. Dexter,ABRI,Ypth,,,
BN003145,sequenced,13,good,11/29/2017,KA-17-0346-ABRI,Nymphalidae,Satyrinae,Ypthimini,,Strabena,rakoto,,"Abdomen, Legs",0.289,57.8,Strabena rakoto,Strabena rakoto,3/12/2018,,K. Dexter,ABRI,Ypth,,,
BN003146,sequenced,13,good,11/29/2017,KA-17-0347-ABRI,Nymphalidae,Satyrinae,Ypthimini,,Strabena,dysvola,,"Abdomen, Legs",0.102,20.4,Strabena dysvola,Strabena dyscola,3/12/2018,,K. Dexter,ABRI,Ypth,,,
BN003147,sequenced,13,good,11/29/2017,KA-17-0349-ABRI,Nymphalidae,Danainae,Danaini,,Amauris,ochlea,ochlea,Legs,0.0286,5.72,Amauris ochlea,Amauris ochlea,3/5/2018,,K. Dexter,ABRI,Dana,,,
BN003148,sequenced,13,good,11/29/2017,KA-17-0367-ABRI,Nymphalidae,Satyrinae,Ypthimina,,Ypthima,albida,occidentalis,Legs,0.165,33,Ypthima albida,Ypthima albida,3/12/2018,,K. Dexter,ABRI,Ypth,,,
BN003149,sequenced,13,good,11/29/2017,KA-17-0369-ABRI,Nymphalidae,Satyrinae,Ypthimina,,Ypthima,uniformis,uniformis,"Abdomen, Legs",0.0407,8.14,Ypthima uniformis,,3/5/2018,,K. Dexter,ABRI,Ypth,,,
BN003150,sequenced,13,low,11/29/2017,KA-17-0402-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Bebearia,warrengashi,,Legs,0.0219,4.38,Bebearia warrengashi,Bebearia warrengashi,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003151,sequenced,13,good,11/29/2017,KA-17-0403-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Bebearia,omo,,Legs,0.0393,7.86,Bebearia omo,Bebearia omo,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003152,sequenced,13,low,11/29/2017,KA-17-0406-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Bebearia,maledicta,,Legs,0.0136,2.72,Bebearia maledicta,Bebearia maledicta,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003153,sequenced,13,good,11/29/2017,KA-17-0409-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Bebearia,wostusiaki,,"Abdomen, Legs",0.0689,13.8,Bebearia wostusiaki,NA,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003154,sequenced,13,good,11/29/2017,KA-17-0411-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Bebearia,kiellandi,,Legs,0.0533,10.7,Bebearia kiellandi,Bebearia kiellandi,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003155,sequenced,13,good,11/29/2017,KA-17-0413-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Bebearia,leptotypa,,Legs,0.0477,9.54,Bebearia leptotypa,Bebearia leptotypa,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003156,sequenced,13,good,11/29/2017,KA-17-0415-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Bebearia,chriemhilda,,Legs,0.353,70.6,Bebearia chriemhilda,Bebearia chriemhilda,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003157,sequenced,13,good,11/29/2017,KA-17-0451-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euryphura,vansomereni,,Legs,0.101,20.2,Euryphura vansomereni,Euryphura chalcis,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003158,sequenced,13,low,11/29/2017,KA-17-0453-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euryphura,species9,,Legs,0.0163,3.26,Euryphura species9,Euryphura sp,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003159,unsequenceable,unassigned,bad,11/29/2017,KA-17-0455-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euryphura,ducarmei,,Legs,<0.010,,Euryphura ducarmei,Euryphura ducarmei,--,--,K. Dexter,ABRI,--,,,
BN003160,sequenced,13,good,11/29/2017,KA-17-0456-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euryphura,euthalioides,,Legs,0.0471,9.42,Euryphura euthalioides,Euryphura chalcis,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003161,sequenced,13,good,11/29/2017,KA-17-0458-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euryphura,achlys,,Legs,0.0293,5.86,Euryphura achlys,Euryphura achlys,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003162,sequenced,13,good,11/29/2017,KA-17-0463-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euryphura,nobilis,,Legs,0.157,31.4,Euryphura nobilis,Euryphurana nobilis,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003163,sequenced,13,good,11/29/2017,KA-17-0468-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euriphene,pallidior,,Legs,0.225,45,Euriphene pallidior,Euriphene pallidior,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003164,sequenced,13,good,11/29/2017,KA-17-0471-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euriphene,abasa,,Legs,0.0882,17.6,Euriphene abasa,Euriphene abasa,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003165,sequenced,13,good,11/29/2017,KA-17-0475-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euriphene,conjungens,,Legs,0.173,34.6,Euriphene conjungens,Euriphene conjungens,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003166,sequenced,13,good,11/29/2017,KA-17-0479-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euriphene,melanops,,Legs,0.0613,12.3,Euriphene melanops,Euriphene melanops,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003167,sequenced,13,good,11/29/2017,KA-17-0480-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euriphene,daeglassi,,Legs,0.0322,6.64,Euriphene daeglassi,,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003168,sequenced,13,good,11/29/2017,KA-17-0481-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euriphene,camarensis,,Legs,0.0647,12.9,Euriphene camarensis,Euriphene camarensis,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003169,sequenced,13,good,11/29/2017,KA-17-0482-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Euriphene,sp.nov.bioko,,Legs,0.0822,16.4,Euriphene sp.nov.bioko,Euriphene sp,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003170,sequenced,13,good,11/29/2017,KA-17-0502-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,fulvaria,,Legs,0.035,7,Pseudacraea fulvaria,Pseudacraea eurytus,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003171,sequenced,13,good,11/29/2017,KA-17-0504-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,ruhama,,Legs,0.0836,16.7,Pseudacraea ruhama,,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003172,sequenced,13,good,11/29/2017,KA-17-0506-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,theorini,bioko,Legs,0.0247,4.94,Pseudacraea theorini,Pseudacraea eurytus,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003173,sequenced,13,good,11/29/2017,KA-17-0507-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,theorini,,Legs,0.0478,9.56,Pseudacraea theorini,Pseudacraea eurytus,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003174,sequenced,13,good,11/29/2017,KA-17-0509-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,apaturoides,,Legs,0.0425,8.5,Pseudacraea apaturoides,,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003175,unsequenceable,NA,bad,11/29/2017,KA-17-0511-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,gamae,,Legs,<0.010,,Pseudacraea gamae,NA,--,--,K. Dexter,ABRI,--,,,
BN003176,sequenced,13,low,11/29/2017,KA-17-0514-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,expansa,,Legs,0.0183,3.66,Pseudacraea expansa,,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003177,sequenced,13,good,11/29/2017,SZS-EUP-896,Nymphalidae,Limenitidinae,Adoliadini,,Euphaedra,ueleana,,Legs,0.292,58.4,Euphaedra ueleana,Euphaedra ueleana,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003178,sequenced,13,good,11/29/2017,SZS-EUP-900,Nymphalidae,Limenitidinae,Adoliadini,,Euphaedra,campaspe,,Legs,0.0667,13.3,Euphaedra campaspe,Euphaedra campaspe,3/5/2018,,K. Dexter,ABRI,Adol,,,
BN003179,sequenced,13,good,11/29/2017,BN-SZS-00013,Nymphalidae,Limenitidinae,Adoliadini,,Bebearia,phranza,,Thorax,0.399,79.8,Bebearia phranza,Bebearia phranza,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003180,sequenced,13,good,11/29/2017,BN-SZS-00043,Nymphalidae,Limenitidinae,Adoliadini,,Eurytela,alinda,,Thorax,0.115,23,Eurytela alinda,Eurytela alinda,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003181,sequenced,13,good,11/29/2017,KA-17-0079-ABRI,Nymphalidae,Limenitidinae,Adoliadini,,Pseudathyma,jacksoni,kivuensis,Legs,0.109,21.8,Pseudathyma jacksoni,Pseudathyma jacksoni,3/12/2018,,K. Dexter,ABRI,Adol,,,
BN003182,duplicate,NA,low,11/29/2017,KA-17-0576-ABRI,Nymphalidae,Heliconiinae,Acraeini,,Acraea,ranavalona,,Legs,0.0121,2.42,Acraea ranavalona,Acraea ranavalona,--,--,K. Dexter,ABRI,--,,,
