SamplesSubmitted,SequencesReceived,SequencesProcessed,LociRecoverd,DeliveredTo,DeliveredToDate,RAPiDSampleCode,BNet_UI,DNA_Yield,ProbeKit,Date_Extracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,ExtractedBy,Contributor,ProjectCode,Type,RAPIDRowSort,RAPIDColumnSort,RAPIDUniqueClientCode,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WC08,BN000266,good,13,7/26/17,288/27.07.2016,Hesperiidae,Coeliadinae,,,Coeliades,bixana,,Legs,0.0699,14,Coeliades bixana,Coeliades bixana,3/5/18,K. Dexter,Szabolcs Sáfián,Hesp,,608,635,28827072016,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WC09,BN000204,good,13,8/16/17,LEP 53049,Hesperiidae,Hesperiinae,Moncini,,Callimormus,interpunctata,,Abdomen,0.0756,15.1,Callimormus interpunctata,Callimormus interpunctata,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,609,643,LEP53049,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WC10,BN000872,good,13,9/5/17,LEP 53070,Hesperiidae,Hesperiinae,Moncini,,Vehilius,inca,,Abdomen,0.0768,15.4,Vehilius inca,Vehilius inca,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,610,651,LEP53070,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WC11,BN002995,good,13,11/15/17,LEP 53044,Hesperiidae,Eudaminae,,,Phocides,pialia,,Abdomen Soak,0.0834,16.7,Phocides pialia,Phocides pialia,3/5/18,K. Dexter,Ana B. B. Morais,,,611,659,LEP53044,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WC12,BN002818,good,13,11/13/17,LEP 53231,Hesperiidae,Hesperiinae,Moncini,,Nastra,ethologus,,Thorax,0.0923,18.5,Nastra ethologus,Nastra ethologus,3/5/18,K. Dexter,H. Romanowski & N. Mega,Hesp,,612,667,LEP53231,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD01,BN002820,good,13,11/13/17,LEP 52445,Hesperiidae,Hesperiinae,Carystini,,Panoquina,lucas,,Thorax,0.1,20,Panoquina lucas,Panoquina lucas,3/5/18,K. Dexter,,Hesp,,613,580,LEP52445,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD02,BN000234,good,13,7/26/17,BN-SZS-00032,Hesperiidae,Pyrginae,Celaenorrhinini,,Celaenorrhinus,dargei,,Legs,0.102,20.4,Celaenorrhinus dargei,Celaenorrhinus dargei,3/5/18,K. Dexter,Szabolcs Sáfián,Hesp,,614,588,BNSZS00032,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD03,BN000677,good,13,7/26/17,BN-SZS-00484,Hesperiidae,Hesperiinae,,,Pteroteinon,caenira,,Legs,0.102,20.4,Pteroteinon caenira,Pteroteinon caenira,3/5/18,K. Dexter,Szabolcs Sáfián,Hesp,,615,596,BNSZS00484,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD04,BN000150,good,13,8/16/17,LEP 53031,Hesperiidae,Eudaminae,,,Astraptes,elorus,,Abdomen,0.103,20.6,Astraptes elorus,Astraptes elorus,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,616,604,LEP53031,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD05,BN000374,good,13,7/26/17,BN-SZS-00497,Hesperiidae,Hesperiinae,,,Gorgyra,aretina,,Legs,0.103,20.6,Gorgyra aretina,Gorgyra aretina,3/5/18,K. Dexter,Szabolcs Sáfián,Hesp,,617,612,BNSZS00497,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD06,BN000149,good,13,8/16/17,LEP 53030,Hesperiidae,Eudaminae,,,Astraptes,aulus,,Abdomen,0.111,22.2,Astraptes aulus,Astraptes aulus,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,618,620,LEP53030,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD07,BN000496,good,13,7/26/17,BN-SZS-00495,Hesperiidae,Hesperiinae,,,Monza,alberti,,Legs,0.115,23,Monza alberti,Monza alberti,3/5/18,K. Dexter,Szabolcs Sáfián,Hesp,,619,628,BNSZS00495,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD08,BN000844,good,13,7/20/17,MFB-17-A025,Hesperiidae,Trapezitinae,,,Trapezites,luteus,leucon,Thorax,0.124,24.8,Trapezites luteus,Trapezites lutea,3/5/18,K. Dexter,M. Braby,Hesp,,620,636,MFB17A025,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD09,BN000118,good,13,9/15/17,RV-05-M410,Hesperiidae,Hesperiinae,Thymelicini,,Ancyloxypha,aurea,,Thorax,0.127,25.4,Ancyloxypha aurea,Ancyloxypha aurea,3/5/18,K. Dexter,MCZ,Hesp,,621,644,RV05M410,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD10,BN000197,good,13,7/26/17,BN-SZS-00603,Hesperiidae,Hesperiinae,Erionotini,,Caenides,benga,,Legs,0.131,26.2,Caenides benga,Caenides benga,3/5/18,K. Dexter,Szabolcs Sáfián,Hesp,,622,652,BNSZS00603,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD11,BN000119,good,13,8/16/17,LEP 53048,Hesperiidae,Hesperiinae,Thymelicini,,Ancyloxypha,nitedeula,,Abdomen,0.132,26.4,Ancyloxypha nitedeula,Ancyloxypha nitedula,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,623,660,LEP53048,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WD12,BN000485,good,13,7/26/17,BN-SZS-00493,Hesperiidae,Hesperiinae,,,Meza,cybeutes,,Legs,0.139,27.8,Meza cybeutes,Meza cybeutes,3/5/18,K. Dexter,Szabolcs Sáfián,Hesp,,624,668,BNSZS00493,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WE01,BN002805,good,13,11/13/17,RV-05-M415,Hesperiidae,Hesperiinae,Thymelicini,,Oarisma,boeta,,Thorax,0.144,28.8,Oarisma boeta,Oarisma boeta,3/5/18,K. Dexter,MCZ,Hesp,,625,581,RV05M415,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WE02,BN000393,good,13,5/31/17,VN-16-D195,Hesperiidae,Coeliadinae,,,Hasora,moestissima,moestissima,Thorax,0.157,31.4,Hasora moestissima,Hasora moetissima,3/5/18,K. Dexter,D. Lohman,Hesp,,626,589,VN16D195,,,,,,,
YES,YES,YES,3,,,FMN_456206_P07_WE03,BN000296,good,13,8/16/17,LEP 53056,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,lepta,,Abdomen,0.158,31.6,Cymaenes lepta,Cymaenes lepta,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,627,597,LEP53056,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WE04,BN000425,good,13,7/14/17,MFB-09-011,Hesperiidae,Trapezitinae,,,Hesperilla,sexguttata,,Thorax,0.172,34.4,Hesperilla sexguttata,Hesperilla sexguttata,3/5/18,K. Dexter,M. Braby,Hesp,,628,605,MFB09011,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WE05,BN000480,good,13,7/14/17,MFB-10-P185,Hesperiidae,Trapezitinae,,,Mesodina,gracillima,,Thorax,0.172,34.4,Mesodina gracillima,Mesodina gracillima,3/5/18,K. Dexter,M. Braby,Hesp,,629,613,MFB10P185,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WE06,BN000229,good,13,7/26/17,BN-SZS-00505,Hesperiidae,Pyrginae,Celaenorrhinini,,Celaenorrhinus,alluaudi,,Legs,0.174,34.8,Celaenorrhinus alluaudi,Apallaga alluaudi,3/5/18,K. Dexter,Szabolcs Sáfián,Hesp,,630,621,BNSZS00505,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WE07,BN002826,good,13,11/13/17,LEP 53516,Hesperiidae,Pyrginae,Tagiadini,,Odina,decoratus,,Thorax,0.174,34.8,Odina decoratus,Odina decoratus,3/5/18,K. Dexter,,Hesp,,631,629,LEP53516,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WE08,BN000839,good,13,7/20/17,MFB-16-P075,Hesperiidae,Trapezitinae,,,Toxidia,parvula,,Thorax,0.176,35.2,Toxidia parvula,NA,3/5/18,K. Dexter,M. Braby,Hesp,,632,637,MFB16P075,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WE09,BN000814,good,13,9/15/17,LEP 53161,Hesperiidae,Hesperiinae,Hesperiini,,Thespieus,catochra,,Thorax,0.18,36,Thespieus catochra,Thespieus catochra,3/5/18,K. Dexter,H. Romanowski & N. Mega,Hesp,,633,645,LEP53161,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WE10,BN000206,good,13,8/16/17,LEP 53050,Hesperiidae,Hesperiinae,Moncini,,Callimormus,rivera,,Abdomen,0.186,37.2,Callimormus rivera,Callimormus rivera,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,634,653,LEP53050,,,,,,,
YES,YES,YES,7,,,FMN_456206_P07_WE11,BN000575,good,13,8/16/17,LEP 53062,Hesperiidae,Hesperiinae,Carystini,,Panoquina,panoquinoides,,Abdomen,0.187,37.4,Panoquina panoquinoides,Panoquina panoquinoides,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,635,661,LEP53062,,,,,,,
YES,YES,YES,12,,,FMN_456206_P07_WE12,BN000281,good,13,8/16/17,LEP 53052,Hesperiidae,Hesperiinae,Anthoptini,,Corticea,obscura,,Abdomen,0.189,37.8,Corticea obscura,Corticea obscura,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,636,669,LEP53052,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WF01,BN000869,good,13,9/15/17,RV-06-A402,Hesperiidae,Eudaminae,,,Urbanus,velinus,,Thorax,0.189,37.8,Urbanus velinus,Urbanus velinus,3/5/18,K. Dexter,MCZ,Hesp,,637,582,RV06A402,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WF02,BN000420,good,13,7/20/17,MFB-16-P149,Hesperiidae,Trapezitinae,,,Hesperilla,furva,,Thorax,0.196,39.2,Hesperilla furva,Hesperilla furva,3/5/18,K. Dexter,M. Braby,Hesp,,638,590,MFB16P149,,,,,,,
YES,YES,YES,11,,,FMN_456206_P07_WF03,BN000294,good,13,8/16/17,LEP 53054,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,distigma,,Abdomen,0.197,39.4,Cymaenes distigma,Cymaenes distigma,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,639,598,LEP53054,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WF04,BN000424,good,13,7/20/17,MFB-16-P174,Hesperiidae,Trapezitinae,,,Hesperilla,sarnia,,Thorax,0.211,42.2,Hesperilla sarnia,Hesperilla sarnia,3/5/18,K. Dexter,M. Braby,Hesp,,640,606,MFB16P174,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WF05,BN000247,good,13,7/26/17,BN-SZS-00532,Hesperiidae,Hesperiinae,Erionotini,,Ceratrichia,argyrosticta?,enta,Legs,0.213,42.6,Ceratrichia argyrosticta?,Ceratrichia sp,3/5/18,K. Dexter,Szabolcs Sáfián,Hesp,,641,614,BNSZS00532,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WF06,BN002811,good,13,11/13/17,LEP 53150,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,uruba,,Thorax,0.218,43.6,Cymaenes uruba,Cymaenes uruba,3/5/18,K. Dexter,H. Romanowski & N. Mega,Hesp,,642,622,LEP53150,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WF07,BN000871,good,13,8/16/17,LEP 53069,Hesperiidae,Hesperiinae,Moncini,,Vehilius,clavicula,,Abdomen,0.225,45,Vehilius clavicula,Vehilius clavicula,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,643,630,LEP53069,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WF08,BN000418,good,13,7/20/17,MFB-17-A011,Hesperiidae,Trapezitinae,,,Hesperilla,crypsigramma,,Thorax,0.227,45.4,Hesperilla crypsigramma,Hesperilla crypsigramma,3/5/18,K. Dexter,M. Braby,Hesp,,644,638,MFB17A011,,,,,,,
YES,YES,YES,12,,,FMN_456206_P07_WF09,BN000321,good,13,8/16/17,LEP 53032,Hesperiidae,Eudaminae,,,Epargyreus,socus,socus,Abdomen,0.231,46.2,Epargyreus socus,Epargyreus socus,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,645,646,LEP53032,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WF10,BN000421,good,13,7/14/17,MFB-16-P022,Hesperiidae,Trapezitinae,,,Hesperilla,malindeva,,Thorax,0.236,47.2,Hesperilla malindeva,Hesperilla malindeva,3/5/18,K. Dexter,M. Braby,Hesp,,646,654,MFB16P022,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WF11,BN000298,good,13,9/15/17,RV-04-I153,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,odilia,,Thorax,0.242,48.4,Cymaenes odilia,Cymaenes odilia,3/5/18,K. Dexter,MCZ,Hesp,,647,662,RV04I153,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WF12,BN000521,good,13,7/14/17,MFB-13-P045,Hesperiidae,Trapezitinae,,,Neohesperilla,xiphiphora,,Thorax,0.251,50.2,Neohesperilla xiphiphora,Neohesperilla xiphiphora,3/5/18,K. Dexter,M. Braby,Hesp,,648,670,MFB13P045,,,,,,,
YES,YES,YES,12,,,FMN_456206_P07_WG01,BN000691,good,13,8/16/17,LEP 53045,Hesperiidae,Pyrginae,Pyrgini,,Pyrgus,orcynoides,,Abdomen,0.264,52.8,Pyrgus orcynoides,Pyrgus orcynoides,3/5/18,K. Dexter,Ana B. B. Morais,Hep,,649,583,LEP53045,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WG02,BN000483,good,13,9/15/17,ME-13-E127,Hesperiidae,Heteropterinae,,,Metisella,kambove,,Thorax,0.266,53.2,Metisella kambove,Metisella kambove,3/5/18,K. Dexter,MCZ,Hesp,,650,591,ME13E127,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WG03,BN000728,good,13,9/15/17,NP-04-J516,Hesperiidae,Pyrginae,Celaenorrhinini,,Sarangesa,motozi,,Thorax,0.283,56.6,Sarangesa motozi,Sarangesa motozi,3/5/18,K. Dexter,MCZ,Hesp,,651,599,NP04J516,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WG04,BN003361,good,13,12/13/17,LEP 59009,Hesperiidae,Hesperiinae,Moncini,,Vettius,fantasos,,Thorax,0.292,58.4,Vettius fantasos,Vettius fantasos,3/5/18,K. Dexter,,Hesp,,652,607,LEP59009,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WG05,BN002809,good,13,11/13/17,LEP 53289,Hesperiidae,Hesperiinae,Hesperiini,,Conga,urqua,,Thorax,0.309,61.8,Conga urqua,Conga urqua,3/5/18,K. Dexter,H. Romanowski & N. Mega,Hesp,,653,615,LEP53289,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WG06,BN000873,good,13,9/15/17,LEP 53208,Hesperiidae,Hesperiinae,Moncini,,Vehilius,strictomenes,,Thorax,0.311,62.2,Vehilius strictomenes,Vehilius stictomenes,3/5/18,K. Dexter,H. Romanowski & N. Mega,Hesp,,654,623,LEP53208,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WG07,BN000838,good,13,7/20/17,MFB-16-P023,Hesperiidae,Trapezitinae,,,Toxidia,melania,,Thorax,0.317,63.4,Toxidia melania,Toxidia melania,3/5/18,K. Dexter,M. Braby,Hesp,,655,631,MFB16P023,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WG08,BN000519,good,13,7/14/17,MFB-13-P048,Hesperiidae,Trapezitinae,,,Neohesperilla,senta,,Thorax,0.318,63.6,Neohesperilla senta,Neohesperilla senta,3/5/18,K. Dexter,M. Braby,Hesp,,656,639,MFB13P048,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WG09,BN003356,good,13,12/13/17,LEP 58996,Hesperiidae,Hesperiinae,Anthoptini,,Synapte,pecta,,Thorax,0.319,63.8,Synapte pecta,Synapte pecta,3/5/18,K. Dexter,,Hesp,,657,647,LEP58996,,,,,,,
YES,YES,YES,9,,,FMN_456206_P07_WG10,BN000407,good,13,8/16/17,LEP 53039,Hesperiidae,Pyrginae,Pyrgini,,Heliopetes,purgia,,Abdomen,0.322,64.4,Heliopetes purgia,Heliopetes purgia,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,658,655,LEP53039,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WG11,BN000099,good,13,7/14/17,LEP 50119,Hesperiidae,Hesperiinae,Moncini,,Amblyscirtes,aesculapius,,Thorax,0.323,64.6,Amblyscirtes aesculapius,Amblyscirtes aesculapius,3/5/18,K. Dexter,,Hesp,,659,663,LEP50119,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WG12,BN000847,good,13,7/20/17,MFB-16-P049,Hesperiidae,Trapezitinae,,,Trapezites,phigalia,,Thorax,0.332,66.4,Trapezites phigalia,Trapezites phigalia,3/5/18,K. Dexter,M. Braby,Hesp,,660,671,MFB16P049,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WH01,BN000710,good,13,8/16/17,LEP 53046,Hesperiidae,Pyrginae,Achlyodini,,Quadrus,u-lucida,mimus,Abdomen,0.337,67.4,Quadrus u-lucida,Quadrus u-lucida,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,661,584,LEP53046,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WH02,BN000843,good,13,7/14/17,MFB-16-P005,Hesperiidae,Trapezitinae,,,Trapezites,iacchus,,Thorax,0.346,69.2,Trapezites iacchus,Trapezites iacchus,3/5/18,K. Dexter,M. Braby,Hesp,,662,592,MFB16P005,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WH03,BN000466,good,13,9/15/17,RV-05-M354,Hesperiidae,Hesperiinae,Moncini,,Lerodea,gracia,,Thorax,0.35,70,Lerodea gracia,Lerodea gracia,3/5/18,K. Dexter,MCZ,Hesp,,663,600,RV05M354,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WH04,BN000297,good,13,9/15/17,RV-05-M348,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,limae,,Thorax,0.352,70.4,Cymaenes limae,Cymaenes limae,3/5/18,K. Dexter,MCZ,Hesp,,664,608,RV05M348,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WH05,BN000627,good,13,9/15/17,ME-11-B007,Hesperiidae,Hesperiinae,,,Platylesches,galesa,,Thorax,0.354,70.8,Platylesches galesa,Platylesches galesa,3/5/18,K. Dexter,MCZ,Hesp,,665,616,ME11B007,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WH06,BN000766,good,13,9/15/17,ME-13-E318,Hesperiidae,Pyrginae,Carcharodini,,Spialia,spio,,Thorax,0.354,70.8,Spialia spio,Spialia spio,3/5/18,K. Dexter,MCZ,Hesp,,666,624,ME13E318,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WH07,BN000689,good,13,9/15/17,LEP 53102,Hesperiidae,Pyrginae,Pyrgini,,Pyrgus,orcus,,Thorax,0.359,71.8,Pyrgus orcus,Pyrgus orcus,3/5/18,K. Dexter,H. Romanowski & N. Mega,Hesp,,667,632,LEP53102,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WH08,BN002810,good,13,11/13/17,LEP 53173,Hesperiidae,Hesperiinae,Anthoptini,,Corticea,immocerinus,,Thorax,0.366,73.2,Corticea immocerinus,Corticea immocerinus,3/5/18,K. Dexter,H. Romanowski & N. Mega,Hesp,,668,640,LEP53173,,,,,,,
YES,YES,YES,4,,,FMN_456206_P07_WH09,BN003362,good,13,12/13/17,LEP 59014,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,trebius,,Thorax,0.376,75.2,Cymaenes trebius,Cymaenes trebius,3/5/18,K. Dexter,,Hesp,,669,648,LEP59014,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WH10,BN000816,good,13,9/15/17,RV-05-J856,Hesperiidae,Hesperiinae,Hesperiini,,Thespieus,fassli,,Thorax,0.395,79,Thespieus fassli,Thespieus fassli,3/5/18,K. Dexter,MCZ,Hesp,,670,656,RV05J856,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WH11,BN000510,good,13,9/15/17,RV-06-A372,Hesperiidae,Pyrginae,Erynnini,,Mylon,maimon,,Thorax,0.396,79.2,Mylon maimon,Mylon maimon,3/5/18,K. Dexter,MCZ,Hesp,,671,664,RV06A372,,,,,,,
YES,YES,YES,13,,,FMN_456206_P07_WH12,BN000649,good,13,8/16/17,LEP 53063,Hesperiidae,Hesperiinae,Hesperiini,,Pompeius,amblyspila,,Abdomen,0.405,81,Pompeius amblyspila,Pompeius amblyspila,3/5/18,K. Dexter,Ana B. B. Morais,Hesp,,672,672,LEP53063,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WA01,BN000158,good,13,9/15/17,DY-93-H067,Hesperiidae,Eudaminae,,,Autochton,bipunctatus,,Thorax,0.407,81.4,Autochton bipunctatus,Autochton bipunctatus,3/5/18,K. Dexter,MCZ,Hesp,,673,673,DY93H067,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WA02,BN000769,good,13,9/15/17,RV-05-M369,Hesperiidae,Pyrginae,Carcharodini,,Staphylus,cordillerae,,Thorax,0.413,82.6,Staphylus cordillerae,Staphylus cordillerae,3/5/18,K. Dexter,MCZ,Hesp,,674,681,RV05M369,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WA03,BN000730,good,13,7/14/17,LEP 50581,Hesperiidae,Pyrginae,Celaenorrhinini,,Sarangesa,ruona,,Thorax,0.422,84.4,Sarangesa ruona,Sarangesa ruona,3/5/18,K. Dexter,,Hesp,,675,689,LEP50581,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WA04,BN003359,good,13,12/13/17,LEP 59004,Hesperiidae,Eudaminae,,,Astraptes,alardus,,Thorax,0.435,87,Astraptes alardus,Astraptes alardus,3/5/18,K. Dexter,,Hesp,,676,697,LEP59004,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WA05,BN000406,good,13,9/15/17,RV-05-M424,Hesperiidae,Pyrginae,Pyrgini,,Heliopetes,omrina,,Thorax,0.444,88.8,Heliopetes omrina,Heliopetes omrina,3/5/18,K. Dexter,MCZ,Hesp,,677,705,RV05M424,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WA06,BN000323,good,13,9/15/17,ME-12-C668,Hesperiidae,Pyrginae,Celaenorrhinini,,Eretis,djaelaelae,,Thorax,0.48,96,Eretis djaelaelae,Eretis djaelaelae,3/5/18,K. Dexter,MCZ,Hesp,,678,713,ME12C668,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WA07,BN001237,low,13,5/20/16,LEP 26523,Lycaenidae,Lycaeninae,,,Lycaena,editha,vurali,Legs,0.0129,2.58,Lycaena editha,Lycaena editha,3/5/18,K.Dexter,,,,679,721,LEP26523,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WA08,BN001310,low,13,7/1/16,LEP 26613,Lycaenidae,Polyommatinae,Polyommatini,Polyommatina,Plebejus,lupini,nr. Lutzi,Legs,0.0137,2.74,Plebejus lupini,Icaricia lupini,3/5/18,K.Dexter,,,,680,729,LEP26613,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WA09,BN001029,low,13,12/7/16,MY-2016-36,Lycaenidae,Theclinae,Theclini,,Favonius,yuasai,,Thorax,0.0144,2.88,Favonius yuasai,Neozephyrus yuasai,3/5/18,K.Dexter,Yago,,,681,737,MY201636,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WA10,BN001243,low,13,5/20/16,LEP 26610,Lycaenidae,Lycaeninae,,,Lycaena,rubidus,sirius,Legs,0.0165,3.3,Lycaena rubidus,Lycaena rubidus,3/5/18,K.Dexter,,,,682,745,LEP26610,,,,,,,
YES,YES,YES,12,,,FMN_456206_P08_WA11,BN001068,low,13,1/16/17,BN-SZS-00301,Lycaenidae,Theclinae,Hypolycaenini,,Hypolycaena,lebona,,Thorax,0.0179,3.58,Hypolycaena lebona,Hypolycaena lebona,3/5/18,K.Dexter,M. Espeland,,,683,753,BNSZS00301,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WA12,BN001245,good,13,7/1/16,LEP 26555,Lycaenidae,Lycaeninae,,,Lycaena,nivalis,browni,Legs,0.0232,4.64,Lycaena nivalis,Lycaena nivalis,3/5/18,K.Dexter,,,,684,761,LEP26555,,,,,,,
YES,YES,YES,1,,,FMN_456206_P08_WB01,BN003529,good,13,2/1/18,LEP 59471,Lycaenidae,Theclinae,Theclini,,Deudorix,woodfordi,,Abdomen Soak,0.0241,4.82,Deudorix woodfordi,Deudorix woodfordi,3/5/18,K. Dexter,MGCL Dry Collection,Acra,,685,674,LEP59471,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WB02,BN001091,good,13,7/26/17,BN-SZS-00565,Lycaenidae,Miletinae,Lachnocnemini,,Lachnocnema,brunea,,Legs,0.0247,4.94,Lachnocnema brunea,Lachnocnema brunea,3/5/18,K. Dexter,Szabolcs Sáfián,,,686,682,BNSZS00565,,,,,,,
YES,YES,YES,12,,,FMN_456206_P08_WB03,BN002909,good,13,11/15/17,LEP 26596,Lycaenidae,Theclinae,Eumaeini,,Satyrium,liparops,aliparops,Legs,0.028,5.6,Satyrium liparops,Satyrium liparops,3/5/18,K. Dexter,,,,687,690,LEP26596,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WB04,BN001262,good,13,7/26/17,BN-SZS-00598,Lycaenidae,Polyommatinae,Lycaenesthini,,Neurellipes,pyroptera,,Legs,0.0288,5.76,Neurellipes pyroptera,Neurellipes pyroptera,3/5/18,K. Dexter,Szabolcs Sáfián,,,688,698,BNSZS00598,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WB05,BN003051,good,13,11/20/17,463/05.09.2017,Lycaenidae,Theclinae,Deudorigini,,Pilodeudorix,kohlii,,Legs,0.0289,5.78,Pilodeudorix kohlii,Pilodeudorix kohli,3/5/18,K. Dexter,Szabolcs Sáfián,,,689,706,46305092017,,,,,,,
YES,YES,YES,12,,,FMN_456206_P08_WB06,BN001081,good,13,7/26/17,168/20.07.2016,Lycaenidae,Theclinae,Iolaini,,Iolaus,menas,,Legs,0.0293,5.86,Iolaus menas,Iolaus menas,3/5/18,K. Dexter,Szabolcs Sáfián,,,690,714,16820072016,,,,,,,
YES,YES,YES,12,,,FMN_456206_P08_WB07,BN001329,good,13,5/20/16,LEP 26622,Lycaenidae,Theclinae,Eumaeini,,Satyrium,californica,,Legs,0.0325,6.5,Satyrium californica,Satyrium californica,3/5/18,K.Dexter,,,,691,722,LEP26622,,,,,,,
YES,YES,YES,12,,,FMN_456206_P08_WB08,BN001079,good,13,7/26/17,166/20.07.2016,Lycaenidae,Theclinae,Iolaini,,Iolaus,calisto,,Legs,0.0331,6.62,Iolaus calisto,Iolaus calisto,3/5/18,K. Dexter,Szabolcs Sáfián,,,692,730,16620072016,,,,,,,
YES,YES,YES,13,,,FMN_456206_P08_WB09,BN002908,good,13,11/15/17,LEP 26136,Lycaenidae,Theclinae,Eumaeini,,Satyrium,favonius,favonius,Legs,0.0348,6.96,Satyrium favonius,Satyrium favonius,3/5/18,K. Dexter,,,,693,738,LEP26136,,,,,,,
